id,author_id,title,category_id,image,date,summary,content
1,1,"Le Grand Boubou: Renaissance d'un Classique Sénégalais",1,"11.jpg","2022-01-15","Le Grand Boubou, vêtement emblématique d'Afrique de l'Ouest, connaît une véritable renaissance. Autrefois réservé aux grandes cérémonies, il se réinvente aujourd'hui pour conquérir le quotidien avec audace et modernité.","[{""element"":""p"",""classe"":""py-1"",""data"":""Le Grand Boubou, avec son ampleur majestueuse et ses broderies raffinées, est bien plus qu'un simple vêtement. Il est le symbole d'un héritage, d'une élégance et d'une prestance qui traverse les âges. Aujourd'hui, les créateurs sénégalais s'en emparent pour le moderniser, jouant avec les matières, les couleurs et les coupes.""},{""element"":""img"",""classe"":""w-[460px] mt-3"",""data"":""12.jpg""},{""element"":""h2"",""classe"":""text-3xl mt-2"",""data"":""Des Tissus Innovants pour une Nouvelle Ère""},{""element"":""p"",""classe"":""py-1"",""data"":""Si le bazin riche reste une valeur sûre, on voit apparaître des boubous en soie, en lin ou même en denim léger. Ces nouvelles textures apportent une fluidité et un confort inédits, adaptant cette pièce traditionnelle à un mode de vie plus urbain et dynamique. La créatrice Selly Raby Kane a notamment présenté une collection où le boubou se pare de motifs wax futuristes.""},{""element"":""ul"",""classe"":""list-disc pl-5 py-1"",""data"":[{""data"":""Coupes asymétriques et plus ajustées""},{""data"":""Utilisation de couleurs vives et de dégradés audacieux""},{""data"":""Broderies minimalistes pour un look épuré""},{""data"":""Combinaison avec des accessoires contemporains comme des baskets ou des sacs structurés""}]},{""element"":""p"",""classe"":""py-1"",""data"":""Cette réinterprétation permet au Grand Boubou de séduire une nouvelle génération, fière de ses racines mais résolument tournée vers l'avenir. Il n'est plus seulement l'apanage des aînés, mais une pièce forte du dressing des jeunes fashionistas de Dakar à Paris.""}]"
2,4,"Omar Ndiaye: L'Architecte de la Mode Dakaroise",2,"13.jpg","2022-01-20","Entretien exclusif avec Omar Ndiaye, le créateur qui sculpte le vêtement comme une œuvre d'art. Sa vision architecturale et son amour pour les matières nobles redéfinissent le luxe à la sénégalaise.","[{""element"":""p"",""classe"":""py-1"",""data"":""Dans son atelier lumineux du quartier des Almadies, Omar Ndiaye nous accueille avec un sourire chaleureux. À seulement 32 ans, il est déjà l'un des noms les plus respectés de la scène mode ouest-africaine. Ses créations, reconnaissables à leurs lignes pures et leurs volumes maîtrisés, sont un hommage à l'élégance intemporelle.""},{""element"":""h2"",""classe"":""text-3xl mt-2"",""data"":""'Le vêtement est une structure'""},{""element"":""p"",""classe"":""py-1"",""data"":""'Pour moi, tout part de la coupe. J'ai une formation d'architecte, et j'aborde le vêtement de la même manière : comme une structure qui doit habiller le corps, le sublimer, mais aussi lui permettre de bouger', explique-t-il. 'Je suis obsédé par le tombé d'un tissu, la précision d'une épaule.' Ses inspirations ? Le design de Jean-Michel Frank, la sobriété de l'architecture soudano-sahélienne et la grâce des femmes de sa famille.""},{""element"":""img"",""classe"":""w-[360px] mt-3"",""data"":""14.jpg""},{""element"":""p"",""classe"":""py-1"",""data"":""Il privilégie les matières nobles et locales : le coton du Mali, la soie tissée à la main, le cuir de Kano. 'Produire localement est au cœur de ma démarche. C'est un défi, mais c'est essentiel pour préserver des savoir-faire uniques et créer une véritable économie de la mode durable', affirme le créateur.""},{""element"":""ul"",""classe"":""list-disc pl-5 py-1"",""data"":[{""data"":""Collection 'Dakar-Minuit' : des robes du soir sculpturales en bogolan revisité""},{""data"":""Collaboration avec des artisans bijoutiers pour des pièces en bronze uniques""},{""data"":""Philosophie : Moins de pièces, mais de meilleure qualité (slow fashion)""}]},{""element"":""p"",""classe"":""py-1"",""data"":""Avec des présentations remarquées à Lagos et Johannesburg, Omar Ndiaye rêve maintenant de Paris, non pas pour y chercher une validation, mais pour 'montrer une autre facette de la créativité africaine, une facette sophistiquée, intellectuelle et universelle.'""}]"
3,3,"Dakar Fashion Week: Les Looks les Plus Marquants du Street Style",3,"15.jpg","2022-06-28","La Dakar Fashion Week n'est pas seulement sur les podiums, elle est aussi dans la rue ! Tour d'horizon des tenues les plus inspirantes, colorées et audacieuses qui ont illuminé la capitale sénégalaise.","[{""element"":""p"",""classe"":""py-1"",""data"":""Pendant une semaine, Dakar est devenue la capitale incontestée de la mode africaine. Et si les défilés ont tenu toutes leurs promesses, le véritable spectacle se déroulait souvent à l'extérieur, sur le parvis des lieux de shows. Blogueurs, influenceurs, acheteurs et simples passionnés ont rivalisé de créativité pour offrir un show de street style vibrant.""},{""element"":""h2"",""classe"":""text-3xl mt-2"",""data"":""La Tendance : Le Mix & Match Décomplexé""},{""element"":""p"",""classe"":""py-1"",""data"":""La grande tendance observée est le 'mix & match'. Les imprimés traditionnels (wax, bogolan) se marient sans complexe avec des pièces de créateurs internationaux, le streetwear rencontre le sur-mesure, et les accessoires artisanaux viennent ponctuer des silhouettes ultra-modernes. C'est la preuve d'une mode qui digère les influences mondiales tout en affirmant fièrement son identité locale.""},{""element"":""img"",""classe"":""w-[460px] mt-3"",""data"":""16.jpg""},{""element"":""ul"",""classe"":""list-disc pl-5 py-1"",""data"":[{""data"":""Le retour en force du 'thioub' (tissu teinté) porté en total look""},{""data"":""L'omniprésence des lunettes de soleil futuristes""},{""data"":""Le sac 'made in Sénégal' comme statement piece""},{""data"":""Les coiffures tressées sculpturales, véritables œuvres d'art""},{""data"":""L'association audacieuse de costumes d'hommes avec des sandales en cuir traditionnelles""}]},{""element"":""img"",""classe"":""w-[360px] mt-3"",""data"":""17.jpg""},{""element"":""p"",""classe"":""py-1"",""data"":""Ce qui frappe, c'est la liberté et la confiance qui se dégagent de chaque look. Loin des diktats, le style dakarois est une célébration de l'individualité. Une leçon de mode pour le monde entier.""}]"
4,1,"L'Art du Tissage Manjak: Un Héritage Précieux en Péril",4,"18.jpg","2022-09-10","Plongée au cœur du savoir-faire ancestral des tisserands Manjak. Entre tradition et modernité, cet artisanat d'exception, reconnu pour sa finesse, lutte pour sa survie et sa transmission.","[{""element"":""p"",""classe"":""py-1"",""data"":""Le pagne tissé Manjak, originaire de la région de Casamance et de la Guinée-Bissau, est l'un des textiles les plus complexes et les plus raffinés d'Afrique de l'Ouest. Caractérisé par ses motifs géométriques d'une incroyable précision et ses couleurs profondes, chaque pièce est unique et raconte une histoire.""},{""element"":""img"",""classe"":""w-[460px] mt-3"",""data"":""19.jpg""},{""element"":""h2"",""classe"":""text-3xl mt-2"",""data"":""Un Savoir-Faire Transmis de Père en Fils""},{""element"":""p"",""classe"":""py-1"",""data"":""Le tissage est traditionnellement une affaire d'hommes, sur des métiers à tisser en bois très spécifiques. Le processus est long et fastidieux : il peut falloir plusieurs semaines pour réaliser un seul pagne. C'est un langage silencieux, un héritage transmis de génération en génération. Malheureusement, ce savoir-faire est aujourd'hui menacé.""},{""element"":""ul"",""classe"":""list-disc pl-5 py-1"",""data"":[{""data"":""La concurrence des tissus industriels moins chers""},{""data"":""Le manque d'intérêt des jeunes générations pour cet art exigeant""},{""data"":""La difficulté d'accès aux matières premières de qualité""},{""data"":""Le manque de reconnaissance et de juste rémunération pour les artisans""}]},{""element"":""p"",""classe"":""py-1"",""data"":""Face à ces défis, des initiatives émergent. Des créateurs comme Awa Meïté intègrent le tissu Manjak dans leurs collections de haute couture, lui offrant une visibilité internationale. Des coopératives se montent pour garantir des revenus équitables aux tisserands et encourager la formation des plus jeunes. Préserver le tissage Manjak, c'est préserver une part de l'âme culturelle du Sénégal.""}]"
5,2,"Upcycling et Mode Durable: La Nouvelle Vague de Créateurs Engagés",5,"20.jpg","2022-11-05","Face à l'urgence écologique, une nouvelle génération de designers sénégalais place la durabilité au cœur de sa démarche. L'upcycling, ou surcyclage, n'est plus une niche mais une véritable philosophie créative.","[{""element"":""p"",""classe"":""py-1"",""data"":""Fini le temps de la fast-fashion. À Dakar, la tendance est à la mode consciente. De jeunes créateurs talentueux transforment des matériaux destinés à être jetés en pièces de mode désirables et uniques. Jeans usés, chutes de tissus, sacs de riz en plastique... tout devient matière à créer.""},{""element"":""h2"",""classe"":""text-3xl mt-2"",""data"":""Focus sur trois initiatives inspirantes""},{""element"":""img"",""classe"":""w-[360px] mt-3"",""data"":""21.jpg""},{""element"":""p"",""classe"":""py-1"",""data"":""**1. Bëgg-Tekki (Vouloir Réussir) :** Ce collectif récupère les jeans invendus ou de seconde main pour les transformer en sacs, vestes et accessoires au design impeccable. Chaque pièce est unique et raconte une histoire de résilience.""},{""element"":""p"",""classe"":""py-1"",""data"":""**2. Nataal (Image) :** La créatrice Ndeye Fatou Cissé travaille à partir des chutes de tissus des grands ateliers de couture de Dakar. Elle crée des patchworks colorés qu'elle transforme en robes, jupes et bombers spectaculaires, luttant ainsi contre le gaspillage textile.""},{""element"":""p"",""classe"":""py-1"",""data"":""**3. Plastic Art :** Ce projet audacieux utilise des sacs plastiques, fléau environnemental, pour les tisser et créer des accessoires de mode imperméables et étonnamment chics. Une manière de transformer un problème en solution.""},{""element"":""p"",""classe"":""py-1"",""data"":""Ces initiatives prouvent que la mode peut être à la fois belle, innovante et respectueuse de la planète. Elles inspirent un nouveau mode de consommation, plus local, plus éthique et plus créatif. La révolution durable est en marche dans la mode sénégalaise.""}]"
16,1,"Adja Youne: Révolutionnant la Mode Sénégalaise avec Élégance Contemporaine",6,"28.jpg","2022-02-12","Dans l'effervescence créative de Dakar, Adja Youne émerge comme une force innovante, fusionnant héritage africain et esthétique moderne. Ses collections captivent par leur fluidité et leur sophistication, redéfinissant le paysage de la mode ouest-africaine.","[{""element"":""p"",""classe"":""py-1"",""data"":""Dans l'effervescence créative de Dakar, Adja Youne émerge comme une force innovante, fusionnant héritage africain et esthétique moderne. Ses collections captivent par leur fluidité et leur sophistication, redéfinissant le paysage de la mode ouest-africaine.""},{""element"":""img"",""classe"":""w-[460px] mt-3"",""data"":""28.jpg""},{""element"":""h2"",""classe"":""text-3xl mt-2"",""data"":""Inspirations Profondes et Artisanat Authentique""},{""element"":""p"",""classe"":""py-1"",""data"":""Inspirée par les textures riches du Sénégal, Adja intègre des éléments comme le marbre poli et des formes structurées, créant des pièces qui allient confort et audace. Chaque design est une narration, célébrant la vitalité culturelle tout en embrassant des influences globales.""},{""element"":""p"",""classe"":""py-1"",""data"":""Ses ateliers à Dakar emploient des artisans locaux, préservant des techniques ancestrales tout en innovant avec des matériaux durables. 'La mode est un dialogue entre passé et avenir,' confie Adja dans une interview exclusive.""},{""element"":""ul"",""classe"":""list-disc pl-5 py-1"",""data"":[{""data"":""Collections phares : Série 'Liberté Fluide' avec soies légères""},{""data"":""Collaborations avec artistes sénégalais pour motifs uniques""},{""data"":""Présence à la Paris Fashion Week, acclamée par critiques""},{""data"":""Engagement éco-responsable : Tissus recyclés et teinture naturelle""},{""data"":""Influence sur la jeunesse : Ateliers éducatifs pour aspirants designers""}]},{""element"":""img"",""classe"":""w-[360px] mt-3"",""data"":""29.jpg""},{""element"":""h2"",""classe"":""text-3xl mt-2"",""data"":""Tendances Émergentes et Vision Future""},{""element"":""p"",""classe"":""py-1"",""data"":""Adja prédit une ère où la mode africaine domine les podiums mondiaux, avec un accent sur l'inclusivité et la durabilité. Ses dernières pièces, mêlant motifs tribaux et coupes minimalistes, incarnent cette vision.""},{""element"":""p"",""classe"":""py-1"",""data"":""En explorant ses créations, on discerne une harmonie parfaite entre tradition et innovation, faisant d'Adja Youne une icône incontournable de la mode sénégalaise contemporaine.""}]"
17,3,"Street Style à Saint-Louis: L'Élégance Décontractée des 'Ndar-Ndar'",1,"30.jpg","2023-01-22","Loin de l'effervescence de Dakar, Saint-Louis cultive une élégance intemporelle. Plongée dans le style unique des habitants de l'ancienne capitale, où histoire et modernité se côtoient avec grâce.","[{""element"":""p"",""classe"":""py-1"",""data"":""Saint-Louis du Sénégal, avec ses balcons en fer forgé et ses maisons coloniales aux couleurs pastel, est un décor de cinéma à ciel ouvert. Mais la véritable beauté de la ville réside dans le style de ses habitants, les 'Ndar-Ndar'. Un style marqué par une nonchalance étudiée, un amour pour les beaux tissus et un respect des traditions.""},{""element"":""img"",""classe"":""w-[460px] mt-3"",""data"":""31.jpg""},{""element"":""h2"",""classe"":""text-3xl mt-2"",""data"":""La Primauté du 'Thiouraye' et du Coton Léger""},{""element"":""p"",""classe"":""py-1"",""data"":""Ici, la chaleur et l'humidité dictent les choix vestimentaires. Les cotons légers, les lins et les soies sont rois. Les hommes portent avec une aisance déconcertante des ensembles en 'thioub' (tissu teinté artisanalement) aux couleurs subtiles, tandis que les femmes privilégient les 'taille basse' fluides et les grands foulards noués avec art.""},{""element"":""ul"",""classe"":""list-disc pl-5 py-1"",""data"":[{""data"":""Les babouches en cuir, incontournables pour hommes et femmes""},{""data"":""Les bijoux en argent filigrané, une spécialité locale""},{""data"":""L'art du 'moussor' (foulard de tête), un accessoire signature""},{""data"":""Une palette de couleurs douces : ocre, indigo délavé, blanc cassé""}]},{""element"":""img"",""classe"":""w-[360px] mt-3"",""data"":""32.jpg""},{""element"":""p"",""classe"":""py-1"",""data"":""Le style saint-louisien est une leçon de 'less is more'. Il prouve que l'élégance véritable n'a pas besoin d'artifices, mais d'une parfaite harmonie entre le vêtement, celui qui le porte et l'environnement qui l'entoure.""}]"
18,4,"Le Business du 'Made in Senegal': Défis et Opportunités",1,"33.jpg","2023-02-05","Le label 'Made in Senegal' est de plus en plus recherché, mais quels sont les véritables défis pour les créateurs qui souhaitent produire localement à grande échelle ? Analyse d'un secteur en pleine mutation.","[{""element"":""p"",""classe"":""py-1"",""data"":""L'engouement pour la mode africaine sur la scène internationale a mis un coup de projecteur sur le Sénégal. Les créateurs locaux bénéficient d'une visibilité sans précédent. Cependant, derrière les paillettes des défilés se cache une réalité industrielle complexe. Produire 100% localement reste un parcours du combattant.""},{""element"":""h2"",""classe"":""text-3xl mt-2"",""data"":""Les Principaux Obstacles à Surmonter""},{""element"":""p"",""classe"":""py-1"",""data"":""Le premier défi est celui de la chaîne d'approvisionnement. Bien que le Sénégal produise du coton, la transformation en fil puis en tissu de haute qualité se fait majoritairement à l'étranger. Les créateurs doivent souvent importer des matières premières, ce qui augmente les coûts et les délais.""},{""element"":""ul"",""classe"":""list-disc pl-5 py-1"",""data"":[{""data"":""Manque d'unités de production textile à grande échelle""},{""data"":""Formation de la main-d'œuvre qualifiée (modélisme, patronage)""},{""data"":""Accès au financement pour développer les ateliers""},{""data"":""Logistique et coûts d'exportation élevés""},{""data"":""Concurrence des importations à bas prix""}]},{""element"":""h2"",""classe"":""text-3xl mt-2"",""data"":""Des Pistes d'Avenir Prometteuses""},{""element"":""p"",""classe"":""py-1"",""data"":""Malgré ces freins, des solutions émergent. Des initiatives gouvernementales visent à relancer la filière textile. Des pôles de production mutualisés voient le jour à Dakar et Thiès, permettant aux jeunes marques de partager des équipements coûteux. L'e-commerce et les plateformes comme Instagram offrent un accès direct au marché international, contournant les distributeurs traditionnels. Le 'Made in Senegal' a un avenir brillant, à condition que l'écosystème entrepreneurial et industriel se structure pour soutenir sa croissance.""},{""element"":""img"",""classe"":""w-[460px] mt-3"",""data"":""34.jpg""}]"
19,1,"La Teinture Indigo: Un Savoir-Faire Ancestral au Coeur de la Modernité",2,"35.jpg","2023-02-18","La couleur indigo, ce bleu profond et mystérieux, est indissociable de l'histoire textile de l'Afrique de l'Ouest. Au Sénégal, des artisans passionnés perpétuent cette technique de teinture naturelle complexe et la réinventent.","[{""element"":""p"",""classe"":""py-1"",""data"":""Obtenu à partir des feuilles de l'indigotier, l'indigo est bien plus qu'une couleur. C'est un processus alchimique, un rituel qui demande patience, expertise et un profond respect pour la nature. Chaque bain de teinture est unique, offrant une palette de bleus allant du céleste au presque noir.""},{""element"":""img"",""classe"":""w-[460px] mt-3"",""data"":""36.jpg""},{""element"":""h2"",""classe"":""text-3xl mt-2"",""data"":""Les Étapes d'un Art Délicat""},{""element"":""p"",""classe"":""py-1"",""data"":""Le processus commence par la récolte des feuilles d'indigotier, qui sont ensuite fermentées dans des cuves en terre cuite pendant plusieurs jours. C'est cette fermentation qui libère le pigment bleu. Les tissus, souvent du coton ou du lin, sont ensuite noués, cousus ou pliés (technique du 'tie-dye') avant d'être plongés dans la teinture. C'est au contact de l'air, en sortant du bain, que le tissu, d'abord jaune-vert, s'oxyde et révèle par magie sa couleur bleue.""},{""element"":""ul"",""classe"":""list-disc pl-5 py-1"",""data"":[{""data"":""Techniques de réserve : Le 'thioup' pour créer des motifs""},{""data"":""Symbolisme : Le bleu indigo est souvent associé à la richesse, à la spiritualité et à la protection""},{""data"":""Lieux emblématiques : La région de la Casamance est un haut lieu de la teinture à l'indigo""},{""data"":""Défis : La concurrence des teintures chimiques, moins chères mais polluantes""}]},{""element"":""p"",""classe"":""py-1"",""data"":""Aujourd'hui, des designers comme Bineta Sané collaborent avec des maîtres teinturiers pour créer des pièces contemporaines, assurant la transmission de ce patrimoine et séduisant une clientèle en quête d'authenticité et de produits durables.""}]"
20,2,"Selly Raby Kane: La Muse Afrofuturiste de la Mode Sénégalaise",3,"37.jpg","2023-03-11","Portrait d'une créatrice inclassable. Selly Raby Kane n'est pas seulement une designer de mode, c'est une artiste totale qui construit des univers fantastiques où se rencontrent la culture pop, la science-fiction et les traditions sénégalaises.","[{""element"":""p"",""classe"":""py-1"",""data"":""Dans le paysage de la mode sénégalaise, Selly Raby Kane est une comète. Ses défilés-performances, organisés dans des lieux insolites de Dakar comme une ancienne gare ou un marché aux poissons, sont des événements culturels à part entière. Sa mode est narrative, audacieuse, et profondément conceptuelle.""},{""element"":""img"",""classe"":""w-[460px] mt-3"",""data"":""38.jpg""},{""element"":""h2"",""classe"":""text-3xl mt-2"",""data"":""Un Vocabulaire Esthétique Unique""},{""element"":""p"",""classe"":""py-1"",""data"":""L'univers de SRK est un collage surréaliste. Elle puise son inspiration aussi bien dans les dessins animés de son enfance que dans les créatures mythologiques africaines ou l'esthétique des super-héros. Cela se traduit par des silhouettes déconstruites, des volumes exagérés et un usage audacieux de matières inattendues comme le plastique recyclé, le néoprène ou le bazin peint à la main.""},{""element"":""ul"",""classe"":""list-disc pl-5 py-1"",""data"":[{""data"":""Collection 'Alien Cartoon' : une invasion extraterrestre stylisée à Dakar""},{""data"":""Collaboration avec IKEA pour une collection capsule remarquée""},{""data"":""Utilisation de l'impression 3D pour des accessoires avant-gardistes""},{""data"":""Engagement pour une mode plus inclusive et conceptuelle en Afrique""}]},{""element"":""img"",""classe"":""w-[360px] mt-3"",""data"":""39.jpg""},{""element"":""p"",""classe"":""py-1"",""data"":""Plus qu'une marque, Selly Raby Kane a créé un label créatif qui produit aussi des courts-métrages et des installations artistiques. Elle incarne une nouvelle génération d'artistes africains qui refusent les étiquettes et utilisent la mode comme un médium pour raconter de nouvelles histoires, celles d'une Afrique résolument tournée vers le futur.""}]"
21,3,"Les 5 Accessoires Indispensables de la Saison à Dakar",5,"40.jpg","2023-03-25","Quels sont les accessoires qui font la différence dans les rues de Dakar ce printemps ? De l'artisanat local aux pièces de créateurs, voici notre sélection des 5 'it-accessoires' à adopter d'urgence.","[{""element"":""p"",""classe"":""py-1"",""data"":""Un look, même simple, peut être totalement transformé par les bons accessoires. À Dakar, où l'on a le sens du détail, les accessoires sont bien plus que de simples ornements : ils sont une affirmation de style et d'identité. Voici les 5 pièces qui font battre le cœur des modeuses cette saison.""},{""element"":""h2"",""classe"":""text-3xl mt-2"",""data"":""La Sélection de la Rédaction""},{""element"":""p"",""classe"":""py-1"",""data"":""**1. Le Sac en Perles Recyclées :** Vu sur tous les bras, ce sac entièrement confectionné à partir de perles de plastique recyclé est le comble du chic éco-responsable. Coloré, ludique et artisanal, il apporte une touche de fraîcheur à n'importe quelle tenue.""},{""element"":""img"",""classe"":""w-[360px] mt-3"",""data"":""41.jpg""},{""element"":""p"",""classe"":""py-1"",""data"":""**2. Les Créoles en Bronze XXL :** Les bijoux en bronze font un retour en force. On oublie la discrétion et on opte pour des créoles surdimensionnées, martelées à la main, inspirées des parures royales de l'ancien empire du Ghana.""},{""element"":""p"",""classe"":""py-1"",""data"":""**3. Les Mules 'Tougou' :** Ces sandales en cuir traditionnelles, revisitées par des créateurs avec des couleurs vives et des détails modernes, sont les chaussures parfaites pour affronter la chaleur avec style. Confortables et élégantes, elles se portent avec tout.""},{""element"":""p"",""classe"":""py-1"",""data"":""**4. Le Bob en Wax :** Le bob, ou chapeau de pêcheur, n'est plus réservé aux touristes. En version imprimé wax, il devient un accessoire de mode pointu, parfait pour se protéger du soleil tout en affichant un look urbain et décalé.""},{""element"":""p"",""classe"":""py-1"",""data"":""**5. Le Collier de Cailloux Polis :** Inspirés par les plages de la Petite Côte, les colliers faits de galets et de verre poli par la mer sont le must-have de la saison. Chaque pièce est unique et apporte une touche organique et poétique à un décolleté.""}]"
22,1,"Interview avec Adama Paris: 'La mode africaine n'est pas une tendance, c'est un futur'",5,"42.jpg","2023-04-12","Rencontre avec Adama Ndiaye, plus connue sous le nom d'Adama Paris. La fondatrice de la Dakar Fashion Week et de la chaîne Fashion Africa TV nous livre sa vision sans concession sur l'état et l'avenir de la mode sur le continent.","[{""element"":""p"",""classe"":""py-1"",""data"":""Adama Paris est une pionnière. Depuis plus de vingt ans, elle se bat pour offrir une plateforme et une voix aux créateurs africains. Nous l'avons rencontrée dans les bureaux de sa chaîne de télévision, un espace vibrant de créativité au cœur de Dakar.""},{""element"":""h2"",""classe"":""text-3xl mt-2"",""data"":""'Nous devons créer notre propre écosystème'""},{""element"":""p"",""classe"":""py-1"",""data"":""**Q : Vingt ans après la première Dakar Fashion Week, quel regard portez-vous sur l'évolution de la mode africaine ?**<br>R : Le chemin parcouru est immense. Quand j'ai commencé, on nous regardait avec condescendance. Aujourd'hui, les créateurs africains sont invités partout, les magazines nous consacrent des unes. Mais la visibilité ne suffit pas. Le plus grand défi est économique. Nous devons cesser d'attendre la validation de l'Occident et construire notre propre écosystème : produire nos tissus, fabriquer sur place, vendre sur nos propres plateformes.""},{""element"":""img"",""classe"":""w-[460px] mt-3"",""data"":""43.jpg""},{""element"":""p"",""classe"":""py-1"",""data"":""**Q : Quelle est selon vous la plus grande force des créateurs du continent ?**<br>R : Notre capacité à raconter des histoires. Un vêtement africain n'est jamais juste un vêtement. Il est chargé de symboles, de savoir-faire, d'histoire. C'est notre plus grand atout face à la fast-fashion qui est sans âme. Notre autre force, c'est la créativité née de la contrainte. On sait innover avec peu de moyens, on est les rois du recyclage et de la débrouille. C'est la définition même de la durabilité !""},{""element"":""p"",""classe"":""py-1"",""data"":""**Q : Un conseil pour un jeune qui veut se lancer ?**<br>R : Soyez authentique. Ne cherchez pas à copier ce qui se fait ailleurs. Votre identité, vos racines, c'est votre plus grande richesse. Et soyez un entrepreneur, pas seulement un artiste. Apprenez à gérer un budget, à communiquer, à vendre. La créativité sans le business, ça ne mène nulle part.""}]"
